;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Código;Nombre de Comuna;Hombre;Mujer;Total;;;;;
;1101;Iquique;   98 413;   101 174;   199 587;;;;;
;1107;Alto Hospicio;   70 649;   71 437;   142 086;;;;;
;1401;Pozo Almonte;   8 667;   8 211;   16 878;;;;;
;1402;Camiña;    648;    687;   1 335;;;;;
;1403;Colchane;    389;    401;    790;;;;;
;1404;Huara;   1 484;   1 374;   2 858;;;;;
;1405;Pica;   3 093;   3 179;   6 272;;;;;
;2101;Antofagasta;   197 979;   203 117;   401 096;;;;;
;2102;Mejillones;   7 021;   7 063;   14 084;;;;;
;2103;Sierra Gorda;    707;    765;   1 472;;;;;
;2104;Taltal;   6 063;   6 034;   12 097;;;;;
;2201;Calama;   82 269;   84 065;   166 334;;;;;
;2202;Ollagüe;    122;    134;    256;;;;;
;2203;San Pedro de Atacama;   4 768;   5 075;   9 843;;;;;
;2301;Tocopilla;   12 589;   12 811;   25 400;;;;;
;2302;María Elena;   2 477;   2 357;   4 834;;;;;
;3101;Copiapó;   83 536;   85 295;   168 831;;;;;
;3102;Caldera;   9 396;   9 409;   18 805;;;;;
;3103;Tierra Amarilla;   6 070;   5 776;   11 846;;;;;
;3201;Chañaral;   6 219;   6 126;   12 345;;;;;
;3202;Diego de Almagro;   5 672;   5 725;   11 397;;;;;
;3301;Vallenar;   26 541;   27 681;   54 222;;;;;
;3302;Alto del Carmen;   2 454;   2 334;   4 788;;;;;
;3303;Freirina;   3 743;   3 834;   7 577;;;;;
;3304;Huasco;   4 632;   4 737;   9 369;;;;;
;4101;La Serena;   120 407;   129 734;   250 141;;;;;
;4102;Coquimbo;   127 926;   135 793;   263 719;;;;;
;4103;Andacollo;   5 800;   5 766;   11 566;;;;;
;4104;La Higuera;   2 299;   2 036;   4 335;;;;;
;4105;Paihuano;   2 310;   2 339;   4 649;;;;;
;4106;Vicuña;   13 738;   14 309;   28 047;;;;;
;4201;Illapel;   15 548;   16 461;   32 009;;;;;
;4202;Canela;   4 869;   4 770;   9 639;;;;;
;4203;Los Vilos;   11 281;   11 598;   22 879;;;;;
;4204;Salamanca;   13 772;   14 051;   27 823;;;;;
;4301;Ovalle;   57 311;   61 385;   118 696;;;;;
;4302;Combarbalá;   6 305;   6 649;   12 954;;;;;
;4303;Monte Patria;   14 703;   15 294;   29 997;;;;;
;4304;Punitaqui;   5 975;   6 101;   12 076;;;;;
;4305;Río Hurtado;   2 153;   2 181;   4 334;;;;;
;5101;Valparaíso;   138 494;   146 444;   284 938;;;;;
;5102;Casablanca;   14 582;   15 294;   29 876;;;;;
;5103;Concón;   23 153;   25 141;   48 294;;;;;
;5104;Juan Fernández;    458;    446;    904;;;;;
;5105;Puchuncaví;   11 156;   11 383;   22 539;;;;;
;5107;Quintero;   17 507;   18 247;   35 754;;;;;
;5109;Viña del Mar;   158 878;   175 993;   334 871;;;;;
;5201;Isla de Pascua;   2 351;   2 449;   4 800;;;;;
;5301;Los Andes;   30 469;   32 971;   63 440;;;;;
;5302;Calle Larga;   8 139;   8 458;   16 597;;;;;
;5303;Rinconada;   5 851;   6 004;   11 855;;;;;
;5304;San Esteban;   9 835;   10 277;   20 112;;;;;
;5401;La Ligua;   19 171;   20 099;   39 270;;;;;
;5402;Cabildo;   9 860;   10 155;   20 015;;;;;
;5403;Papudo;   3 766;   3 795;   7 561;;;;;
;5404;Petorca;   5 030;   5 176;   10 206;;;;;
;5405;Zapallar;   3 902;   4 078;   7 980;;;;;
;5501;Quillota;   46 621;   50 132;   96 753;;;;;
;5502;Calera;   24 513;   26 118;   50 631;;;;;
;5503;Hijuelas;   9 518;   9 768;   19 286;;;;;
;5504;La Cruz;   11 993;   12 946;   24 939;;;;;
;5506;Nogales;   10 849;   11 287;   22 136;;;;;
;5601;San Antonio;   46 972;   49 798;   96 770;;;;;
;5602;Algarrobo;   7 673;   8 403;   16 076;;;;;
;5603;Cartagena;   12 043;   12 556;   24 599;;;;;
;5604;El Quisco;   9 088;   9 883;   18 971;;;;;
;5605;El Tabo;   7 915;   8 345;   16 260;;;;;
;5606;Santo Domingo;   6 437;   6 734;   13 171;;;;;
;5701;San Felipe;   38 921;   41 492;   80 413;;;;;
;5702;Catemu;   6 728;   7 032;   13 760;;;;;
;5703;Llaillay;   12 538;   12 946;   25 484;;;;;
;5704;Panquehue;   3 582;   3 687;   7 269;;;;;
;5705;Putaendo;   8 531;   8 805;   17 336;;;;;
;5706;Santa María;   7 325;   7 809;   15 134;;;;;
;5801;Quilpué;   77 149;   85 410;   162 559;;;;;
;5802;Limache;   27 348;   28 797;   56 145;;;;;
;5803;Olmué;   9 668;   10 110;   19 778;;;;;
;5804;Villa Alemana;   65 629;   73 942;   139 571;;;;;
;6101;Rancagua;   125 172;   132 572;   257 744;;;;;
;6102;Codegua;   6 885;   7 070;   13 955;;;;;
;6103;Coinco;   3 906;   4 010;   7 916;;;;;
;6104;Coltauco;   10 653;   10 720;   21 373;;;;;
;6105;Doñihue;   10 706;   11 219;   21 925;;;;;
;6106;Graneros;   17 613;   18 325;   35 938;;;;;
;6107;Las Cabras;   13 900;   13 654;   27 554;;;;;
;6108;Machalí;   29 507;   31 368;   60 875;;;;;
;6109;Malloa;   6 950;   6 932;   13 882;;;;;
;6110;Mostazal;   13 521;   13 873;   27 394;;;;;
;6111;Olivar;   6 870;   7 031;   13 901;;;;;
;6112;Peumo;   7 115;   7 128;   14 243;;;;;
;6113;Pichidegua;   10 152;   10 211;   20 363;;;;;
;6114;Quinta de Tilcoco;   6 648;   6 910;   13 558;;;;;
;6115;Rengo;   30 925;   32 695;   63 620;;;;;
;6116;Requínoa;   14 588;   14 920;   29 508;;;;;
;6117;San Vicente;   24 340;   25 219;   49 559;;;;;
;6201;Pichilemu;   9 744;   10 103;   19 847;;;;;
;6202;La Estrella;   2 343;   2 266;   4 609;;;;;
;6203;Litueche;   4 443;   4 409;   8 852;;;;;
;6204;Marchihue;   4 347;   4 368;   8 715;;;;;
;6205;Navidad;   4 521;   4 364;   8 885;;;;;
;6206;Paredones;   3 667;   3 561;   7 228;;;;;
